filename,total_words,english_only,danish_only,ambiguous,neither,prop_english_only,prop_danish_only,prop_ambiguous,prop_neither
output_CREATIVE PROMPTS_20250610_180253_1.txt,691,0,433,252,6,0.0,0.6266280752532561,0.36468885672937773,0.008683068017366137
output_CREATIVE PROMPTS_20250610_180305_2.txt,403,0,243,159,1,0.0,0.6029776674937966,0.3945409429280397,0.0024813895781637717
output_CREATIVE PROMPTS_20250610_180322_3.txt,614,9,336,263,6,0.014657980456026058,0.5472312703583062,0.42833876221498374,0.009771986970684038
output_CREATIVE PROMPTS_20250610_180330_4.txt,220,0,133,87,0,0.0,0.6045454545454545,0.39545454545454545,0.0
output_CREATIVE PROMPTS_20250610_180342_5.txt,334,0,212,122,0,0.0,0.6347305389221557,0.3652694610778443,0.0
output_CREATIVE PROMPTS_20250610_180350_1.txt,485,8,290,181,6,0.016494845360824743,0.5979381443298969,0.3731958762886598,0.012371134020618556
output_CREATIVE PROMPTS_20250610_180356_6.txt,337,0,192,135,10,0.0,0.56973293768546,0.40059347181008903,0.02967359050445104
output_CREATIVE PROMPTS_20250610_180404_2.txt,492,0,311,180,1,0.0,0.6321138211382114,0.36585365853658536,0.0020325203252032522
output_CREATIVE PROMPTS_20250610_180415_7.txt,721,27,404,262,28,0.03744798890429958,0.5603328710124826,0.3633841886269071,0.038834951456310676
output_CREATIVE PROMPTS_20250610_180423_3.txt,660,17,359,274,10,0.025757575757575757,0.543939393939394,0.41515151515151516,0.015151515151515152
output_CREATIVE PROMPTS_20250610_180426_8.txt,298,2,167,127,2,0.006711409395973154,0.5604026845637584,0.4261744966442953,0.006711409395973154
output_CREATIVE PROMPTS_20250610_180432_4.txt,295,0,183,112,0,0.0,0.6203389830508474,0.37966101694915255,0.0
output_CREATIVE PROMPTS_20250610_180439_9.txt,374,0,227,147,0,0.0,0.606951871657754,0.393048128342246,0.0
output_CREATIVE PROMPTS_20250610_180443_5.txt,227,3,152,68,4,0.013215859030837005,0.6696035242290749,0.29955947136563876,0.01762114537444934
output_CREATIVE PROMPTS_20250610_180450_10.txt,319,1,200,118,0,0.003134796238244514,0.6269592476489029,0.36990595611285265,0.0
output_CREATIVE PROMPTS_20250610_180457_6.txt,366,6,209,150,1,0.01639344262295082,0.5710382513661202,0.4098360655737705,0.00273224043715847
output_CREATIVE PROMPTS_20250610_180458_11.txt,180,0,109,71,0,0.0,0.6055555555555555,0.39444444444444443,0.0
output_CREATIVE PROMPTS_20250610_180512_12.txt,415,0,253,162,0,0.0,0.6096385542168675,0.39036144578313253,0.0
output_CREATIVE PROMPTS_20250610_180515_7.txt,627,21,358,222,26,0.03349282296650718,0.5709728867623605,0.35406698564593303,0.04146730462519936
output_CREATIVE PROMPTS_20250610_180526_8.txt,281,0,168,113,0,0.0,0.597864768683274,0.40213523131672596,0.0
output_CREATIVE PROMPTS_20250610_180529_13.txt,536,2,322,211,1,0.0037313432835820895,0.6007462686567164,0.39365671641791045,0.0018656716417910447
output_CREATIVE PROMPTS_20250610_180539_9.txt,428,4,233,178,13,0.009345794392523364,0.544392523364486,0.4158878504672897,0.030373831775700934
output_CREATIVE PROMPTS_20250610_180543_14.txt,488,0,306,182,0,0.0,0.6270491803278688,0.3729508196721312,0.0
output_CREATIVE PROMPTS_20250610_180549_10.txt,272,2,168,100,2,0.007352941176470588,0.6176470588235294,0.36764705882352944,0.007352941176470588
output_CREATIVE PROMPTS_20250610_180553_15.txt,358,0,213,144,1,0.0,0.5949720670391061,0.4022346368715084,0.002793296089385475
output_CREATIVE PROMPTS_20250610_180600_11.txt,271,0,166,105,0,0.0,0.6125461254612546,0.3874538745387454,0.0
output_CREATIVE PROMPTS_20250610_180601_16.txt,121,0,66,55,0,0.0,0.5454545454545454,0.45454545454545453,0.0
output_CREATIVE PROMPTS_20250610_180623_17.txt,490,0,313,174,3,0.0,0.6387755102040816,0.3551020408163265,0.006122448979591836
output_CREATIVE PROMPTS_20250610_180625_12.txt,464,0,264,198,2,0.0,0.5689655172413793,0.4267241379310345,0.004310344827586207
output_CREATIVE PROMPTS_20250610_180641_18.txt,602,1,374,226,1,0.0016611295681063123,0.6212624584717608,0.3754152823920266,0.0016611295681063123
output_CREATIVE PROMPTS_20250610_180645_13.txt,752,9,443,297,3,0.011968085106382979,0.589095744680851,0.3949468085106383,0.003989361702127659
output_CREATIVE PROMPTS_20250610_180649_19.txt,226,132,2,77,15,0.584070796460177,0.008849557522123894,0.3407079646017699,0.06637168141592921
output_CREATIVE PROMPTS_20250610_180702_14.txt,729,0,406,322,1,0.0,0.5569272976680384,0.44170096021947874,0.0013717421124828531
output_CREATIVE PROMPTS_20250610_180703_20.txt,518,0,300,217,1,0.0,0.5791505791505791,0.4189189189189189,0.0019305019305019305
output_CREATIVE PROMPTS_20250610_180713_21.txt,251,0,139,110,2,0.0,0.5537848605577689,0.43824701195219123,0.00796812749003984
output_CREATIVE PROMPTS_20250610_180716_15.txt,501,0,312,189,0,0.0,0.6227544910179641,0.3772455089820359,0.0
output_CREATIVE PROMPTS_20250610_180718_22.txt,42,0,24,18,0,0.0,0.5714285714285714,0.42857142857142855,0.0
output_CREATIVE PROMPTS_20250610_180722_16.txt,118,0,63,55,0,0.0,0.5338983050847458,0.4661016949152542,0.0
output_CREATIVE PROMPTS_20250610_180733_23.txt,416,1,269,143,3,0.002403846153846154,0.6466346153846154,0.34375,0.007211538461538462
output_CREATIVE PROMPTS_20250610_180743_17.txt,480,12,311,152,5,0.025,0.6479166666666667,0.31666666666666665,0.010416666666666666
output_CREATIVE PROMPTS_20250610_180747_24.txt,352,4,195,144,9,0.011363636363636364,0.5539772727272727,0.4090909090909091,0.02556818181818182
output_CREATIVE PROMPTS_20250610_180757_25.txt,317,3,177,135,2,0.00946372239747634,0.5583596214511041,0.42586750788643535,0.006309148264984227
output_CREATIVE PROMPTS_20250610_180759_18.txt,554,0,317,235,2,0.0,0.572202166064982,0.42418772563176893,0.0036101083032490976
output_CREATIVE PROMPTS_20250610_180809_19.txt,206,4,117,85,0,0.019417475728155338,0.5679611650485437,0.41262135922330095,0.0
output_CREATIVE PROMPTS_20250610_180830_20.txt,410,3,250,149,8,0.007317073170731708,0.6097560975609756,0.36341463414634145,0.01951219512195122
output_CREATIVE PROMPTS_20250610_180832_26.txt,567,0,379,184,4,0.0,0.6684303350970018,0.32451499118165783,0.007054673721340388
output_CREATIVE PROMPTS_20250610_180840_21.txt,244,0,136,106,2,0.0,0.5573770491803278,0.4344262295081967,0.00819672131147541
output_CREATIVE PROMPTS_20250610_180845_22.txt,45,0,27,18,0,0.0,0.6,0.4,0.0
output_CREATIVE PROMPTS_20250610_180846_27.txt,377,5,232,135,5,0.013262599469496022,0.6153846153846154,0.35809018567639256,0.013262599469496022
output_CREATIVE PROMPTS_20250610_180858_23.txt,386,1,227,153,5,0.0025906735751295338,0.5880829015544041,0.3963730569948187,0.012953367875647668
output_CREATIVE PROMPTS_20250610_180905_28.txt,484,0,287,192,5,0.0,0.5929752066115702,0.39669421487603307,0.010330578512396695
output_CREATIVE PROMPTS_20250610_180912_24.txt,374,2,204,163,5,0.0053475935828877,0.5454545454545454,0.4358288770053476,0.013368983957219251
output_CREATIVE PROMPTS_20250610_180914_29.txt,243,0,145,98,0,0.0,0.5967078189300411,0.40329218106995884,0.0
output_CREATIVE PROMPTS_20250610_180924_30.txt,212,0,136,76,0,0.0,0.6415094339622641,0.3584905660377358,0.0
output_CREATIVE PROMPTS_20250610_180929_25.txt,402,0,245,156,1,0.0,0.6094527363184079,0.3880597014925373,0.0024875621890547263
output_CREATIVE PROMPTS_20250610_180948_26.txt,617,0,375,231,11,0.0,0.6077795786061588,0.37439222042139386,0.017828200972447326
output_CREATIVE PROMPTS_20250610_181002_27.txt,385,2,240,134,9,0.005194805194805195,0.6233766233766234,0.34805194805194806,0.023376623376623377
output_CREATIVE PROMPTS_20250610_181018_28.txt,453,2,274,171,6,0.004415011037527594,0.6048565121412803,0.37748344370860926,0.013245033112582781
output_CREATIVE PROMPTS_20250610_181029_29.txt,287,0,167,120,0,0.0,0.5818815331010453,0.4181184668989547,0.0
output_CREATIVE PROMPTS_20250610_181039_30.txt,308,0,191,114,3,0.0,0.6201298701298701,0.37012987012987014,0.00974025974025974
output_CREATIVE PROMPTS_20250610_182756_1.txt,650,1,392,241,16,0.0015384615384615385,0.6030769230769231,0.3707692307692308,0.024615384615384615
output_CREATIVE PROMPTS_20250610_182809_2.txt,396,0,237,158,1,0.0,0.5984848484848485,0.398989898989899,0.0025252525252525255
output_CREATIVE PROMPTS_20250610_182824_3.txt,599,7,296,289,7,0.011686143572621035,0.4941569282136895,0.48247078464106846,0.011686143572621035
output_CREATIVE PROMPTS_20250610_182833_4.txt,224,0,128,94,2,0.0,0.5714285714285714,0.41964285714285715,0.008928571428571428
output_CREATIVE PROMPTS_20250610_182845_5.txt,396,6,232,157,1,0.015151515151515152,0.5858585858585859,0.39646464646464646,0.0025252525252525255
output_CREATIVE PROMPTS_20250610_182858_6.txt,370,2,206,155,7,0.005405405405405406,0.5567567567567567,0.4189189189189189,0.01891891891891892
output_CREATIVE PROMPTS_20250610_182916_7.txt,674,2,380,274,18,0.002967359050445104,0.5637982195845698,0.4065281899109792,0.026706231454005934
output_CREATIVE PROMPTS_20250610_182927_8.txt,279,0,174,103,2,0.0,0.6236559139784946,0.36917562724014336,0.007168458781362007
output_CREATIVE PROMPTS_20250610_182937_1.txt,515,5,324,172,14,0.009708737864077669,0.629126213592233,0.3339805825242718,0.027184466019417475
output_CREATIVE PROMPTS_20250610_182939_9.txt,417,0,241,170,6,0.0,0.5779376498800959,0.407673860911271,0.014388489208633094
output_CREATIVE PROMPTS_20250610_182949_2.txt,357,0,202,148,7,0.0,0.5658263305322129,0.41456582633053224,0.0196078431372549
output_CREATIVE PROMPTS_20250610_182951_10.txt,358,0,228,124,6,0.0,0.6368715083798883,0.3463687150837989,0.01675977653631285
output_CREATIVE PROMPTS_20250610_182959_11.txt,148,0,83,64,1,0.0,0.5608108108108109,0.43243243243243246,0.006756756756756757
output_CREATIVE PROMPTS_20250610_183006_3.txt,628,2,375,245,6,0.0031847133757961785,0.5971337579617835,0.39012738853503187,0.009554140127388535
output_CREATIVE PROMPTS_20250610_183012_12.txt,470,0,276,193,1,0.0,0.5872340425531914,0.4106382978723404,0.002127659574468085
output_CREATIVE PROMPTS_20250610_183017_4.txt,211,0,123,88,0,0.0,0.5829383886255924,0.41706161137440756,0.0
output_CREATIVE PROMPTS_20250610_183028_13.txt,558,0,328,214,16,0.0,0.5878136200716846,0.3835125448028674,0.02867383512544803
output_CREATIVE PROMPTS_20250610_183028_5.txt,360,1,231,128,0,0.002777777777777778,0.6416666666666667,0.35555555555555557,0.0
output_CREATIVE PROMPTS_20250610_183042_6.txt,370,1,217,151,1,0.002702702702702703,0.5864864864864865,0.4081081081081081,0.002702702702702703
output_CREATIVE PROMPTS_20250610_183043_14.txt,602,0,374,226,2,0.0,0.6212624584717608,0.3754152823920266,0.0033222591362126247
output_CREATIVE PROMPTS_20250610_183055_15.txt,424,0,254,170,0,0.0,0.5990566037735849,0.4009433962264151,0.0
output_CREATIVE PROMPTS_20250610_183058_7.txt,599,7,339,229,24,0.011686143572621035,0.5659432387312187,0.3823038397328882,0.04006677796327212
output_CREATIVE PROMPTS_20250610_183102_16.txt,84,0,51,33,0,0.0,0.6071428571428571,0.39285714285714285,0.0
