filename,total_words,english_only,danish_only,ambiguous,neither
output_CREATIVE PROMPTS_20250610_183131_10.txt,307,4,192,109,2
output_CREATIVE PROMPTS_20250610_183132_17.txt,481,3,306,166,6
output_CREATIVE PROMPTS_20250610_183142_11.txt,277,1,163,113,0
output_CREATIVE PROMPTS_20250610_183146_1.txt,560,2,333,209,16
output_CREATIVE PROMPTS_20250610_183158_12.txt,549,0,338,210,1
output_CREATIVE PROMPTS_20250610_183158_2.txt,437,0,273,164,0
output_CREATIVE PROMPTS_20250610_183200_18.txt,531,0,319,209,3
output_CREATIVE PROMPTS_20250610_183209_19.txt,172,15,63,65,29
output_CREATIVE PROMPTS_20250610_183214_13.txt,574,0,377,195,2
output_CREATIVE PROMPTS_20250610_183217_3.txt,783,0,485,290,8
output_CREATIVE PROMPTS_20250610_183222_20.txt,387,5,234,143,5
output_CREATIVE PROMPTS_20250610_183226_4.txt,235,0,136,99,0
output_CREATIVE PROMPTS_20250610_183229_14.txt,562,0,339,221,2
output_CREATIVE PROMPTS_20250610_183229_21.txt,88,0,50,38,0
output_CREATIVE PROMPTS_20250610_183234_22.txt,48,0,32,16,0
output_CREATIVE PROMPTS_20250610_183236_5.txt,228,6,146,76,0
output_CREATIVE PROMPTS_20250610_183243_15.txt,510,0,292,215,3
output_CREATIVE PROMPTS_20250610_183245_23.txt,331,1,201,128,1
output_CREATIVE PROMPTS_20250610_183249_6.txt,411,4,228,179,0
output_CREATIVE PROMPTS_20250610_183250_16.txt,126,0,72,51,3
output_CREATIVE PROMPTS_20250610_183258_24.txt,339,13,192,131,3
output_CREATIVE PROMPTS_20250610_183305_7.txt,600,18,327,228,27
output_CREATIVE PROMPTS_20250610_183309_17.txt,442,4,278,151,9
output_CREATIVE PROMPTS_20250610_183311_25.txt,378,0,235,139,4
output_CREATIVE PROMPTS_20250610_183318_8.txt,333,2,200,128,3
output_CREATIVE PROMPTS_20250610_183325_18.txt,464,0,285,175,4
output_CREATIVE PROMPTS_20250610_183330_9.txt,396,0,211,183,2
output_CREATIVE PROMPTS_20250610_183334_19.txt,217,2,97,116,2
output_CREATIVE PROMPTS_20250610_183342_10.txt,389,8,245,134,2
output_CREATIVE PROMPTS_20250610_183348_26.txt,446,3,271,150,22
output_CREATIVE PROMPTS_20250610_183349_20.txt,456,2,278,169,7
output_CREATIVE PROMPTS_20250610_183350_11.txt,146,0,77,69,0
output_CREATIVE PROMPTS_20250610_183359_21.txt,263,0,145,117,1
output_CREATIVE PROMPTS_20250610_183402_27.txt,427,0,265,156,6
output_CREATIVE PROMPTS_20250610_183404_12.txt,416,0,229,187,0
output_CREATIVE PROMPTS_20250610_183404_22.txt,65,0,35,30,0
output_CREATIVE PROMPTS_20250610_183417_23.txt,363,2,219,137,5
output_CREATIVE PROMPTS_20250610_183418_13.txt,504,0,313,182,9
output_CREATIVE PROMPTS_20250610_183419_28.txt,459,1,280,170,8
output_CREATIVE PROMPTS_20250610_183429_29.txt,244,0,147,97,0
output_CREATIVE PROMPTS_20250610_183439_24.txt,369,12,199,152,6
output_CREATIVE PROMPTS_20250610_183440_30.txt,300,0,200,92,8
output_CREATIVE PROMPTS_20250610_183442_14.txt,581,0,369,211,1
output_CREATIVE PROMPTS_20250610_183451_25.txt,432,1,296,130,5
output_CREATIVE PROMPTS_20250610_183454_15.txt,378,0,224,153,1
output_CREATIVE PROMPTS_20250610_183501_16.txt,128,0,78,50,0
output_CREATIVE PROMPTS_20250610_183509_26.txt,570,25,343,182,20
output_CREATIVE PROMPTS_20250610_183519_17.txt,419,3,250,162,4
output_CREATIVE PROMPTS_20250610_183522_27.txt,432,3,293,124,12
output_CREATIVE PROMPTS_20250610_183538_18.txt,594,0,374,217,3
output_CREATIVE PROMPTS_20250610_183539_28.txt,556,0,332,213,11
output_CREATIVE PROMPTS_20250610_183546_19.txt,245,151,2,87,5
output_CREATIVE PROMPTS_20250610_183548_29.txt,202,0,130,71,1
output_CREATIVE PROMPTS_20250610_183600_30.txt,359,0,239,114,6
output_CREATIVE PROMPTS_20250610_183602_20.txt,560,1,330,228,1
output_CREATIVE PROMPTS_20250610_183612_21.txt,262,0,157,105,0
output_CREATIVE PROMPTS_20250610_183617_22.txt,46,0,26,20,0
output_CREATIVE PROMPTS_20250610_183629_23.txt,398,0,269,127,2
output_CREATIVE PROMPTS_20250610_183642_24.txt,338,12,180,141,5
output_CREATIVE PROMPTS_20250610_183654_25.txt,398,0,248,147,3
output_CREATIVE PROMPTS_20250610_183714_26.txt,599,0,396,187,16
output_CREATIVE PROMPTS_20250610_183728_27.txt,476,0,284,188,4
output_CREATIVE PROMPTS_20250610_183746_28.txt,516,9,310,193,4
output_CREATIVE PROMPTS_20250610_183755_29.txt,226,0,130,96,0
output_CREATIVE PROMPTS_20250610_183808_30.txt,334,0,212,121,1
output_CREATIVE PROMPTS_20250610_185239_1.txt,529,1,310,208,10
output_CREATIVE PROMPTS_20250610_185250_2.txt,360,0,208,152,0
output_CREATIVE PROMPTS_20250610_185306_3.txt,679,13,356,301,9
output_CREATIVE PROMPTS_20250610_185316_4.txt,252,0,146,104,2
output_CREATIVE PROMPTS_20250610_185324_5.txt,200,2,113,85,0
output_CREATIVE PROMPTS_20250610_185338_6.txt,421,3,248,170,0
output_CREATIVE PROMPTS_20250610_185353_1.txt,424,5,251,166,2
output_CREATIVE PROMPTS_20250610_185354_7.txt,571,5,327,215,24
output_CREATIVE PROMPTS_20250610_185405_8.txt,339,0,201,132,6
output_CREATIVE PROMPTS_20250610_185406_2.txt,433,0,269,163,1
output_CREATIVE PROMPTS_20250610_185419_9.txt,485,0,271,207,7
output_CREATIVE PROMPTS_20250610_185424_3.txt,629,21,322,277,9
output_CREATIVE PROMPTS_20250610_185430_10.txt,347,0,210,132,5
output_CREATIVE PROMPTS_20250610_185433_4.txt,272,0,157,113,2
output_CREATIVE PROMPTS_20250610_185437_11.txt,148,0,85,61,2
output_CREATIVE PROMPTS_20250610_185444_5.txt,263,0,153,109,1
output_CREATIVE PROMPTS_20250610_185451_12.txt,423,0,249,171,3
output_CREATIVE PROMPTS_20250610_185458_6.txt,401,0,225,172,4
output_CREATIVE PROMPTS_20250610_185512_13.txt,742,0,431,306,5
output_CREATIVE PROMPTS_20250610_185515_7.txt,655,29,358,248,20
output_CREATIVE PROMPTS_20250610_185525_8.txt,311,0,179,130,2
output_CREATIVE PROMPTS_20250610_185527_14.txt,613,0,359,253,1
output_CREATIVE PROMPTS_20250610_185538_9.txt,456,6,269,175,6
output_CREATIVE PROMPTS_20250610_185540_15.txt,455,0,272,182,1
output_CREATIVE PROMPTS_20250610_185548_16.txt,133,0,79,52,2
output_CREATIVE PROMPTS_20250610_185549_10.txt,390,6,225,159,0
output_CREATIVE PROMPTS_20250610_185559_11.txt,250,0,134,114,2
output_CREATIVE PROMPTS_20250610_185607_17.txt,394,1,275,115,3
output_CREATIVE PROMPTS_20250610_185613_12.txt,376,0,248,128,0
output_CREATIVE PROMPTS_20250610_185623_18.txt,539,2,331,205,1
output_CREATIVE PROMPTS_20250610_185624_1.txt,487,1,299,175,12
output_CREATIVE PROMPTS_20250610_185629_13.txt,616,7,371,222,16
output_CREATIVE PROMPTS_20250610_185633_19.txt,209,7,100,63,39
output_CREATIVE PROMPTS_20250610_185637_2.txt,504,0,301,203,0
output_CREATIVE PROMPTS_20250610_185645_14.txt,683,0,392,289,2
output_CREATIVE PROMPTS_20250610_185648_20.txt,497,15,283,195,4
output_CREATIVE PROMPTS_20250610_185654_3.txt,618,1,338,261,18
output_CREATIVE PROMPTS_20250610_185657_15.txt,439,1,259,178,1
output_CREATIVE PROMPTS_20250610_185657_21.txt,196,0,121,73,2
output_CREATIVE PROMPTS_20250610_185702_22.txt,61,0,42,19,0
output_CREATIVE PROMPTS_20250610_185702_4.txt,251,0,154,95,2
output_CREATIVE PROMPTS_20250610_185704_16.txt,126,0,76,50,0
output_CREATIVE PROMPTS_20250610_185714_5.txt,266,0,173,92,1
output_CREATIVE PROMPTS_20250610_185717_23.txt,501,2,318,177,4
output_CREATIVE PROMPTS_20250610_185720_17.txt,316,1,193,118,4
output_CREATIVE PROMPTS_20250610_185726_6.txt,302,3,157,142,0
output_CREATIVE PROMPTS_20250610_185733_24.txt,360,7,185,163,5
output_CREATIVE PROMPTS_20250610_185736_18.txt,469,0,285,184,0
output_CREATIVE PROMPTS_20250610_185742_7.txt,636,22,333,249,32
output_CREATIVE PROMPTS_20250610_185745_19.txt,240,24,89,84,43
output_CREATIVE PROMPTS_20250610_185746_25.txt,406,1,242,158,5
output_CREATIVE PROMPTS_20250610_185753_8.txt,252,1,169,79,3
output_CREATIVE PROMPTS_20250610_185759_20.txt,445,0,263,181,1
output_CREATIVE PROMPTS_20250610_185804_26.txt,576,0,366,178,32
output_CREATIVE PROMPTS_20250610_185805_9.txt,456,0,268,186,2
output_CREATIVE PROMPTS_20250610_185808_21.txt,238,0,124,114,0
output_CREATIVE PROMPTS_20250610_185813_22.txt,32,0,21,11,0
output_CREATIVE PROMPTS_20250610_185816_10.txt,328,4,209,115,0
output_CREATIVE PROMPTS_20250610_185818_27.txt,395,0,271,120,4
output_CREATIVE PROMPTS_20250610_185826_11.txt,163,0,100,62,1
output_CREATIVE PROMPTS_20250610_185827_23.txt,385,2,237,137,9
output_CREATIVE PROMPTS_20250610_185835_28.txt,503,0,308,173,22
output_CREATIVE PROMPTS_20250610_185839_24.txt,333,3,180,145,5
output_CREATIVE PROMPTS_20250610_185840_12.txt,414,0,234,179,1
output_CREATIVE PROMPTS_20250610_185845_29.txt,259,0,149,110,0
output_CREATIVE PROMPTS_20250610_185850_25.txt,328,0,209,119,0
output_CREATIVE PROMPTS_20250610_185855_30.txt,283,2,175,103,3
output_CREATIVE PROMPTS_20250610_185856_13.txt,644,0,403,236,5
output_CREATIVE PROMPTS_20250610_185907_26.txt,556,0,380,164,12
output_CREATIVE PROMPTS_20250610_185909_14.txt,447,0,269,178,0
output_CREATIVE PROMPTS_20250610_185921_15.txt,383,1,232,149,1
output_CREATIVE PROMPTS_20250610_185922_27.txt,533,1,310,212,10
output_CREATIVE PROMPTS_20250610_185928_16.txt,125,0,68,57,0
output_CREATIVE PROMPTS_20250610_185937_28.txt,442,3,254,180,5
output_CREATIVE PROMPTS_20250610_185946_29.txt,317,0,190,126,1
output_CREATIVE PROMPTS_20250610_185949_17.txt,448,9,274,162,3
output_CREATIVE PROMPTS_20250610_185956_30.txt,260,0,165,91,4
output_CREATIVE PROMPTS_20250610_190008_18.txt,572,0,347,220,5
output_CREATIVE PROMPTS_20250610_190016_19.txt,205,122,5,61,17
output_CREATIVE PROMPTS_20250610_190032_20.txt,586,7,343,234,2
output_CREATIVE PROMPTS_20250610_190042_21.txt,283,0,149,134,0
output_CREATIVE PROMPTS_20250610_190047_22.txt,55,0,35,20,0
output_CREATIVE PROMPTS_20250610_190101_23.txt,392,2,222,167,1
output_CREATIVE PROMPTS_20250610_190112_24.txt,328,8,185,132,3
output_CREATIVE PROMPTS_20250610_190124_25.txt,368,0,216,146,6
output_CREATIVE PROMPTS_20250610_190144_26.txt,630,0,383,240,7
output_CREATIVE PROMPTS_20250610_190157_27.txt,403,0,243,148,12
output_CREATIVE PROMPTS_20250610_190216_28.txt,504,0,281,211,12
output_CREATIVE PROMPTS_20250610_190226_29.txt,332,0,196,135,1
output_CREATIVE PROMPTS_20250610_190236_30.txt,279,3,187,88,1
output_CREATIVE PROMPTS_20250610_191649_1.txt,526,1,308,199,18
output_CREATIVE PROMPTS_20250610_191701_2.txt,406,0,238,167,1
output_CREATIVE PROMPTS_20250610_191719_3.txt,634,11,339,278,6
output_CREATIVE PROMPTS_20250610_191728_4.txt,247,0,134,111,2
output_CREATIVE PROMPTS_20250610_191737_5.txt,232,0,136,91,5
output_CREATIVE PROMPTS_20250610_191750_6.txt,333,8,190,134,1
output_CREATIVE PROMPTS_20250610_191804_7.txt,553,26,309,205,13
output_CREATIVE PROMPTS_20250610_191806_1.txt,405,0,244,152,9
output_CREATIVE PROMPTS_20250610_191817_8.txt,389,0,221,167,1
output_CREATIVE PROMPTS_20250610_191820_2.txt,455,1,252,198,4
output_CREATIVE PROMPTS_20250610_191831_9.txt,489,0,274,209,6
output_CREATIVE PROMPTS_20250610_191834_3.txt,507,4,291,202,10
output_CREATIVE PROMPTS_20250610_191842_10.txt,327,4,192,131,0
output_CREATIVE PROMPTS_20250610_191843_4.txt,263,0,164,98,1
output_CREATIVE PROMPTS_20250610_191853_11.txt,267,51,95,110,11
output_CREATIVE PROMPTS_20250610_191853_5.txt,226,1,132,90,3
output_CREATIVE PROMPTS_20250610_191907_12.txt,496,0,272,221,3
output_CREATIVE PROMPTS_20250610_191908_6.txt,394,2,225,165,2
output_CREATIVE PROMPTS_20250610_191924_7.txt,632,4,337,271,20
output_CREATIVE PROMPTS_20250610_191925_13.txt,581,0,389,188,4
output_CREATIVE PROMPTS_20250610_191934_8.txt,232,0,123,107,2
output_CREATIVE PROMPTS_20250610_191939_14.txt,488,0,298,189,1
output_CREATIVE PROMPTS_20250610_191949_9.txt,582,9,318,248,7
output_CREATIVE PROMPTS_20250610_191951_15.txt,401,1,226,174,0
output_CREATIVE PROMPTS_20250610_191958_16.txt,125,0,70,55,0
output_CREATIVE PROMPTS_20250610_192000_10.txt,330,2,203,124,1
output_CREATIVE PROMPTS_20250610_192008_11.txt,150,0,95,55,0
output_CREATIVE PROMPTS_20250610_192016_17.txt,402,7,232,154,9
output_CREATIVE PROMPTS_20250610_192023_12.txt,448,0,272,174,2
output_CREATIVE PROMPTS_20250610_192040_13.txt,589,1,355,227,6
output_CREATIVE PROMPTS_20250610_192044_18.txt,463,0,277,184,2
output_CREATIVE PROMPTS_20250610_192051_19.txt,199,116,4,64,15
output_CREATIVE PROMPTS_20250610_192053_14.txt,428,1,276,151,0
output_CREATIVE PROMPTS_20250610_192103_20.txt,429,3,237,185,4
output_CREATIVE PROMPTS_20250610_192105_15.txt,387,0,232,155,0
output_CREATIVE PROMPTS_20250610_192113_1.txt,474,0,304,159,11
output_CREATIVE PROMPTS_20250610_192113_16.txt,125,0,74,51,0
output_CREATIVE PROMPTS_20250610_192113_21.txt,230,0,128,102,0
output_CREATIVE PROMPTS_20250610_192117_22.txt,26,0,21,5,0
output_CREATIVE PROMPTS_20250610_192133_23.txt,527,3,324,199,1
output_CREATIVE PROMPTS_20250610_192138_2.txt,547,0,326,217,4
output_CREATIVE PROMPTS_20250610_192139_17.txt,343,11,208,122,2
output_CREATIVE PROMPTS_20250610_192145_24.txt,335,16,200,112,7
output_CREATIVE PROMPTS_20250610_192153_18.txt,495,5,293,194,3
output_CREATIVE PROMPTS_20250610_192153_3.txt,504,0,281,210,13
output_CREATIVE PROMPTS_20250610_192156_25.txt,334,0,210,124,0
output_CREATIVE PROMPTS_20250610_192202_19.txt,200,2,85,112,1
output_CREATIVE PROMPTS_20250610_192202_4.txt,289,0,149,140,0
output_CREATIVE PROMPTS_20250610_192212_26.txt,581,7,360,198,16
output_CREATIVE PROMPTS_20250610_192213_5.txt,354,0,210,144,0
output_CREATIVE PROMPTS_20250610_192217_20.txt,521,3,307,209,2
output_CREATIVE PROMPTS_20250610_192226_21.txt,205,1,117,87,0
output_CREATIVE PROMPTS_20250610_192226_27.txt,374,11,214,131,18
output_CREATIVE PROMPTS_20250610_192228_6.txt,423,2,251,169,1
