filename,total_words,english_only,danish_only,ambiguous,neither,prop_english_only,prop_danish_only,prop_ambiguous,prop_neither
output_STEM_20250611_130201_1.txt,272,0,173,83,16,0.0,0.6360294117647058,0.30514705882352944,0.058823529411764705
output_STEM_20250611_130211_2.txt,294,0,204,79,11,0.0,0.6938775510204082,0.2687074829931973,0.03741496598639456
output_STEM_20250611_130221_3.txt,311,2,212,85,12,0.006430868167202572,0.6816720257234726,0.2733118971061093,0.03858520900321544
output_STEM_20250611_130231_4.txt,308,0,196,103,9,0.0,0.6363636363636364,0.3344155844155844,0.02922077922077922
output_STEM_20250611_130241_5.txt,303,0,205,96,2,0.0,0.6765676567656765,0.31683168316831684,0.006600660066006601
output_STEM_20250611_130250_6.txt,246,0,146,91,9,0.0,0.5934959349593496,0.3699186991869919,0.036585365853658534
output_STEM_20250611_130259_7.txt,294,0,185,99,10,0.0,0.6292517006802721,0.336734693877551,0.034013605442176874
output_STEM_20250611_130310_8.txt,322,0,196,104,22,0.0,0.6086956521739131,0.32298136645962733,0.06832298136645963
output_STEM_20250611_130320_9.txt,391,0,252,123,16,0.0,0.6445012787723785,0.3145780051150895,0.04092071611253197
output_STEM_20250611_130330_10.txt,306,0,200,103,3,0.0,0.6535947712418301,0.3366013071895425,0.00980392156862745
output_STEM_20250611_130341_11.txt,374,2,237,117,18,0.0053475935828877,0.6336898395721925,0.31283422459893045,0.0481283422459893
output_STEM_20250611_131840_1.txt,328,0,197,102,29,0.0,0.600609756097561,0.31097560975609756,0.08841463414634146
output_STEM_20250611_131850_2.txt,305,0,196,96,13,0.0,0.6426229508196721,0.31475409836065577,0.04262295081967213
output_STEM_20250611_131901_3.txt,361,0,255,100,6,0.0,0.7063711911357341,0.2770083102493075,0.01662049861495845
output_STEM_20250611_131911_4.txt,357,1,223,124,9,0.0028011204481792717,0.6246498599439776,0.3473389355742297,0.025210084033613446
output_STEM_20250611_131921_5.txt,300,0,203,95,2,0.0,0.6766666666666666,0.31666666666666665,0.006666666666666667
output_STEM_20250611_131930_6.txt,248,5,142,93,8,0.020161290322580645,0.5725806451612904,0.375,0.03225806451612903
output_STEM_20250611_131939_7.txt,335,0,215,114,6,0.0,0.6417910447761194,0.3402985074626866,0.01791044776119403
output_STEM_20250611_131950_8.txt,317,0,187,100,30,0.0,0.5899053627760252,0.31545741324921134,0.0946372239747634
output_STEM_20250611_132000_9.txt,330,0,216,101,13,0.0,0.6545454545454545,0.30606060606060603,0.03939393939393939
output_STEM_20250611_132009_10.txt,294,0,194,99,1,0.0,0.6598639455782312,0.336734693877551,0.003401360544217687
output_STEM_20250611_132019_11.txt,306,7,178,106,15,0.02287581699346405,0.5816993464052288,0.3464052287581699,0.049019607843137254
output_STEM_20250611_133524_1.txt,362,0,232,111,19,0.0,0.6408839779005525,0.30662983425414364,0.052486187845303865
output_STEM_20250611_133533_2.txt,302,0,198,92,12,0.0,0.6556291390728477,0.304635761589404,0.039735099337748346
output_STEM_20250611_133543_3.txt,335,0,216,110,9,0.0,0.6447761194029851,0.3283582089552239,0.026865671641791045
output_STEM_20250611_133554_4.txt,363,0,231,118,14,0.0,0.6363636363636364,0.325068870523416,0.03856749311294766
output_STEM_20250611_133604_5.txt,313,0,193,116,4,0.0,0.6166134185303515,0.3706070287539936,0.012779552715654952
output_STEM_20250611_133612_6.txt,249,0,148,94,7,0.0,0.5943775100401606,0.37751004016064255,0.028112449799196786
output_STEM_20250611_133621_7.txt,298,1,191,100,6,0.003355704697986577,0.6409395973154363,0.33557046979865773,0.020134228187919462
output_STEM_20250611_133632_8.txt,325,3,184,112,26,0.009230769230769232,0.5661538461538461,0.3446153846153846,0.08
output_STEM_20250611_133642_9.txt,372,0,237,123,12,0.0,0.6370967741935484,0.33064516129032256,0.03225806451612903
output_STEM_20250611_133651_10.txt,295,0,197,98,0,0.0,0.6677966101694915,0.33220338983050846,0.0
output_STEM_20250611_133702_11.txt,315,8,189,101,17,0.025396825396825397,0.6,0.32063492063492066,0.05396825396825397
output_STEM_20250611_133859_1.txt,324,0,198,106,20,0.0,0.6111111111111112,0.3271604938271605,0.06172839506172839
output_STEM_20250611_133909_2.txt,345,0,231,108,6,0.0,0.6695652173913044,0.3130434782608696,0.017391304347826087
output_STEM_20250611_133919_3.txt,329,0,229,89,11,0.0,0.6960486322188449,0.270516717325228,0.03343465045592705
output_STEM_20250611_133930_4.txt,372,0,231,124,17,0.0,0.6209677419354839,0.3333333333333333,0.0456989247311828
output_STEM_20250611_133941_5.txt,339,0,219,118,2,0.0,0.6460176991150443,0.3480825958702065,0.0058997050147492625
output_STEM_20250611_133950_6.txt,275,1,164,100,10,0.0036363636363636364,0.5963636363636363,0.36363636363636365,0.03636363636363636
output_STEM_20250611_133959_7.txt,293,0,177,107,9,0.0,0.6040955631399317,0.3651877133105802,0.030716723549488054
output_STEM_20250611_134009_8.txt,299,3,178,100,18,0.010033444816053512,0.5953177257525084,0.33444816053511706,0.06020066889632107
output_STEM_20250611_134019_9.txt,326,0,210,103,13,0.0,0.6441717791411042,0.3159509202453988,0.03987730061349693
output_STEM_20250611_134028_10.txt,312,0,197,110,5,0.0,0.6314102564102564,0.3525641025641026,0.016025641025641024
output_STEM_20250611_134039_11.txt,356,3,199,118,36,0.008426966292134831,0.5589887640449438,0.33146067415730335,0.10112359550561797
output_STEM_20250611_134126_1.txt,313,0,205,92,16,0.0,0.6549520766773163,0.2939297124600639,0.051118210862619806
