filename,total_words,english_only,danish_only,ambiguous,neither,prop_english_only,prop_danish_only,prop_ambiguous,prop_neither
output_CREATIVE PROMPTS_20250611_141708_3.txt,317,6,173,135,3,0.01892744479495268,0.5457413249211357,0.42586750788643535,0.00946372239747634
output_CREATIVE PROMPTS_20250611_141714_20.txt,229,0,134,94,1,0.0,0.5851528384279476,0.4104803493449782,0.004366812227074236
output_CREATIVE PROMPTS_20250611_141716_4.txt,213,0,123,88,2,0.0,0.5774647887323944,0.4131455399061033,0.009389671361502348
output_CREATIVE PROMPTS_20250611_141720_21.txt,144,0,83,60,1,0.0,0.5763888888888888,0.4166666666666667,0.006944444444444444
output_CREATIVE PROMPTS_20250611_141722_5.txt,55,0,36,19,0,0.0,0.6545454545454545,0.34545454545454546,0.0
output_CREATIVE PROMPTS_20250611_141725_22.txt,53,0,40,13,0,0.0,0.7547169811320755,0.24528301886792453,0.0
output_CREATIVE PROMPTS_20250611_141731_6.txt,305,0,196,104,5,0.0,0.6426229508196721,0.34098360655737703,0.01639344262295082
output_CREATIVE PROMPTS_20250611_141734_23.txt,256,3,161,91,1,0.01171875,0.62890625,0.35546875,0.00390625
output_CREATIVE PROMPTS_20250611_141740_7.txt,298,2,169,106,21,0.006711409395973154,0.5671140939597316,0.35570469798657717,0.07046979865771812
output_CREATIVE PROMPTS_20250611_141742_24.txt,240,4,142,92,2,0.016666666666666666,0.5916666666666667,0.38333333333333336,0.008333333333333333
output_CREATIVE PROMPTS_20250611_141749_8.txt,257,0,140,116,1,0.0,0.5447470817120622,0.45136186770428016,0.0038910505836575876
output_CREATIVE PROMPTS_20250611_141750_25.txt,244,0,168,75,1,0.0,0.6885245901639344,0.3073770491803279,0.004098360655737705
output_CREATIVE PROMPTS_20250611_141758_9.txt,326,0,196,126,4,0.0,0.6012269938650306,0.38650306748466257,0.012269938650306749
output_CREATIVE PROMPTS_20250611_141801_26.txt,290,0,173,94,23,0.0,0.596551724137931,0.32413793103448274,0.07931034482758621
output_CREATIVE PROMPTS_20250611_141806_10.txt,227,0,155,70,2,0.0,0.6828193832599119,0.30837004405286345,0.00881057268722467
output_CREATIVE PROMPTS_20250611_141811_27.txt,274,2,183,85,4,0.0072992700729927005,0.6678832116788321,0.3102189781021898,0.014598540145985401
output_CREATIVE PROMPTS_20250611_141812_11.txt,127,0,83,43,1,0.0,0.6535433070866141,0.33858267716535434,0.007874015748031496
output_CREATIVE PROMPTS_20250611_141820_12.txt,219,1,143,75,0,0.0045662100456621,0.6529680365296804,0.3424657534246575,0.0
output_CREATIVE PROMPTS_20250611_141820_28.txt,224,1,135,79,9,0.004464285714285714,0.6026785714285714,0.35267857142857145,0.04017857142857143
output_CREATIVE PROMPTS_20250611_141828_29.txt,224,0,135,87,2,0.0,0.6026785714285714,0.38839285714285715,0.008928571428571428
output_CREATIVE PROMPTS_20250611_141830_13.txt,347,1,222,119,5,0.002881844380403458,0.6397694524495677,0.34293948126801155,0.01440922190201729
output_CREATIVE PROMPTS_20250611_141836_30.txt,227,0,156,67,4,0.0,0.6872246696035242,0.29515418502202645,0.01762114537444934
output_CREATIVE PROMPTS_20250611_141841_14.txt,413,2,250,159,2,0.004842615012106538,0.6053268765133172,0.38498789346246975,0.004842615012106538
output_CREATIVE PROMPTS_20250611_141849_15.txt,298,2,177,118,1,0.006711409395973154,0.5939597315436241,0.3959731543624161,0.003355704697986577
output_CREATIVE PROMPTS_20250611_141855_16.txt,63,1,29,28,5,0.015873015873015872,0.4603174603174603,0.4444444444444444,0.07936507936507936
output_CREATIVE PROMPTS_20250611_141905_17.txt,313,2,199,110,2,0.006389776357827476,0.6357827476038339,0.3514376996805112,0.006389776357827476
output_CREATIVE PROMPTS_20250611_141914_18.txt,283,0,188,93,2,0.0,0.6643109540636042,0.3286219081272085,0.007067137809187279
output_CREATIVE PROMPTS_20250611_141921_19.txt,143,15,43,28,57,0.1048951048951049,0.3006993006993007,0.1958041958041958,0.3986013986013986
output_CREATIVE PROMPTS_20250611_141929_20.txt,213,0,134,78,1,0.0,0.6291079812206573,0.36619718309859156,0.004694835680751174
output_CREATIVE PROMPTS_20250611_141936_21.txt,138,0,85,52,1,0.0,0.6159420289855072,0.37681159420289856,0.007246376811594203
output_CREATIVE PROMPTS_20250611_141941_22.txt,48,0,36,12,0,0.0,0.75,0.25,0.0
output_CREATIVE PROMPTS_20250611_141950_23.txt,281,2,170,107,2,0.0071174377224199285,0.604982206405694,0.3807829181494662,0.0071174377224199285
output_CREATIVE PROMPTS_20250611_141958_24.txt,222,2,114,103,3,0.009009009009009009,0.5135135135135135,0.46396396396396394,0.013513513513513514
output_CREATIVE PROMPTS_20250611_142006_25.txt,228,0,143,85,0,0.0,0.6271929824561403,0.37280701754385964,0.0
output_CREATIVE PROMPTS_20250611_142017_26.txt,316,1,195,104,16,0.0031645569620253164,0.6170886075949367,0.3291139240506329,0.05063291139240506
output_CREATIVE PROMPTS_20250611_142026_27.txt,250,0,156,87,7,0.0,0.624,0.348,0.028
output_CREATIVE PROMPTS_20250611_142036_28.txt,222,0,136,80,6,0.0,0.6126126126126126,0.36036036036036034,0.02702702702702703
output_CREATIVE PROMPTS_20250611_142043_29.txt,202,0,102,98,2,0.0,0.504950495049505,0.48514851485148514,0.009900990099009901
output_CREATIVE PROMPTS_20250611_142052_30.txt,214,0,134,75,5,0.0,0.6261682242990654,0.35046728971962615,0.02336448598130841
output_CREATIVE PROMPTS_20250611_143123_1.txt,318,1,198,111,8,0.0031446540880503146,0.6226415094339622,0.3490566037735849,0.025157232704402517
output_CREATIVE PROMPTS_20250611_143133_2.txt,328,0,199,127,2,0.0,0.6067073170731707,0.3871951219512195,0.006097560975609756
